Langue;Certificat;Niveau;Objectif Pro;Objectif aca;Objectif mobilité;informations
Italien;CELI C1;C1;professionnel;académique;mobilité;http://www.cvcl.it/categorie/categoria-67?explicit=SI 
Italien;CELI C2;C2;professionnel;académique;mobilité;http://www.cvcl.it/categorie/categoria-68?explicit=SI 
Italien;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Italien;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Italien;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Italien;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Italien;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Italien;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Italien;DCL;C1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Italien;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Italien;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Italien;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Italien;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Italien;TELC A1;A1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Italien;TELC A2;A2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Italien;TELC B1;B1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Italien;TELC B2;B2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Italien;TELC C1;C1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Japonais;JLPT N1;C1;professionnel;académique;mobilité;http://www.jlpt.jp/e/about/index.html 
Japonais;JLPT N2;B2;professionnel;académique;mobilité;http://www.jlpt.jp/e/about/index.html 
Japonais;JLPT N3;B1;professionnel;académique;mobilité;http://www.jlpt.jp/e/about/index.html 
Japonais;JLPT N4;A2;professionnel;académique;mobilité;http://www.jlpt.jp/e/about/index.html 
Japonais;JLPT N5;A1;professionnel;académique;mobilité;http://www.jlpt.jp/e/about/index.html 
Néerlandais;CNaVT - PTIT A2;A2;professionnel;académique;mobilité;http://www.cnavt.org/main.asp?lan=13&typ=65 
Néerlandais;CNaVT - PMT B1;B1;professionnel;académique;mobilité;http://www.cnavt.org/main.asp?lan=13&typ=66
Néerlandais;CNaVT - PTHO B2;B2;;académique;mobilité;http://www.cnavt.org/main.asp?lan=13&typ=67
Néerlandais;CNaVT - PPT B2;B2;professionnel;académique;mobilité;http://www.cnavt.org/main.asp?lan=13&typ=68
Néerlandais;CNaVT - PAT C1;C1;professionnel;académique;mobilité;http://www.cnavt.org/main.asp?lan=13&typ=69
Persan;OXPET;NA;professionnel;académique;;http://www.oxfordpersian.co.uk/index.php/academic/persian-language-academy/proficiency-test-of-persian-language 
Portugais;CAPLE acesso;A1;professionnel;académique;mobilité;http://caple.letras.ulisboa.pt/pages/view/21 
Portugais;CAPLE ciple;A2;professionnel;académique;mobilité;http://caple.letras.ulisboa.pt/pages/view/11 
Portugais;CAPLE deple;B1;professionnel;académique;mobilité;http://caple.letras.ulisboa.pt/pages/view/12 
Portugais;CAPLE diple ;B2;professionnel;académique;mobilité;http://caple.letras.ulisboa.pt/pages/view/13 
Portugais;CAPLE daple ;C1;professionnel;académique;mobilité;http://caple.letras.ulisboa.pt/pages/view/14 
Portugais;CAPLE duple ;C2;professionnel;académique;mobilité;http://caple.letras.ulisboa.pt/pages/view/15 
